2729.95880100 0.38480958 0.00059965 0.38481000
2729.91980300 0.38516472 0.00060923 0.38516500
2729.88080400 0.38477413 0.00061169 0.38477400
2729.84180700 0.37775285 0.00059877 0.37775300
2729.80280900 0.38532684 0.00059995 0.38532700
2729.76381300 0.38520476 0.00060241 0.38520500
2729.72481700 0.38540630 0.00061113 0.38540600
2729.68582100 0.38540557 0.00063054 0.38540600
2729.64682600 0.38559116 0.00063353 0.38559100
2729.60783200 0.38479585 0.00066220 0.38479600
2729.56883800 0.38531099 0.00069249 0.38531100
2729.52984500 0.38533937 0.00062141 0.38533900
2729.49085200 0.38523360 0.00060059 0.38523400
2729.45186000 0.38509760 0.00059615 0.38509800
2729.41286800 0.38508732 0.00059779 0.38508700
2729.37387700 0.38509931 0.00061169 0.38509900
2729.33488700 0.36981536 0.00061886 0.36981500
2729.29589700 0.38478649 0.00059726 0.38478600
2729.25690700 0.38481100 0.00059238 0.38481100
2729.21791900 0.38480086 0.00059092 0.38480100
2729.17893000 0.38430314 0.00059059 0.38430300
2729.13994300 0.38442674 0.00058981 0.38442700
2729.10095500 0.38421604 0.00058943 0.38421600
2729.06196900 0.38372851 0.00058950 0.38372900
2729.02298300 0.38275132 0.00059035 0.38275100
2728.98399700 0.38214882 0.00059029 0.38214900
2728.94501200 0.38177389 0.00058866 0.38177400
2728.90602800 0.38166216 0.00058760 0.38166200
2728.86704400 0.38188133 0.00058739 0.38188100
2728.82806100 0.38209230 0.00058719 0.38209200
2728.78907800 0.38363695 0.00058831 0.38363700
2728.75009600 0.38397195 0.00058921 0.38397200
2728.71111400 0.38423847 0.00059068 0.38423800
2728.67213300 0.37163336 0.00058757 0.37163300
2728.63315300 0.38458767 0.00059668 0.38458800
2728.59417300 0.38476413 0.00059324 0.38476400
2728.55519400 0.38486970 0.00059022 0.38487000
2728.51621500 0.38488919 0.00059018 0.38488900
2728.47723700 0.38496318 0.00059090 0.38496300
2728.43825900 0.38506391 0.00059181 0.38506400
2728.39928200 0.38505149 0.00060333 0.38505100
2728.36030500 0.38501959 0.00060922 0.38502000
2728.32132900 0.38505320 0.00059296 0.38505300
2728.28235400 0.38506063 0.00059043 0.38506100
2728.24337900 0.38476960 0.00059013 0.38477000
2728.20440400 0.38266128 0.00058904 0.38266100
2728.16543100 0.38508530 0.00059064 0.38508500
2728.12645700 0.38516508 0.00059206 0.38516500
2728.08748500 0.38420839 0.00059447 0.38420800
2728.04851300 0.38507120 0.00059726 0.38507100
2728.00954100 0.37408765 0.00058764 0.37408800
2727.97057000 0.38484689 0.00059200 0.38484700
2727.93160000 0.38483644 0.00059121 0.38483600
2727.89263000 0.38466238 0.00059166 0.38466200
2727.85366000 0.38348394 0.00059170 0.38348400
2727.81469200 0.38281850 0.00058968 0.38281900
2727.77572300 0.38349831 0.00058930 0.38349800
2727.73675600 0.38417766 0.00058942 0.38417800
2727.69778900 0.38451164 0.00058991 0.38451200
2727.65882200 0.38506345 0.00059137 0.38506300
2727.61985600 0.38507076 0.00059074 0.38507100
