2722.40344400 0.00105144
2722.44233600 0.00140709
2722.48122800 0.00183632
2722.52012000 0.00226539
2722.55901300 0.00453982
2722.59790700 0.00682359
2722.63680100 0.00840510
2722.67569600 0.00707928
2722.71459100 0.00575541
2722.75348700 0.00447951
2722.79238400 0.00326801
2722.83128100 0.00178638
2722.87017800 0.00146690
2722.90907700 0.00127908
2722.94797500 0.00108385
2722.98687500 0.00103079
2723.02577400 0.00101336
2723.06467500 0.00099402
2723.10357600 0.00130056
2723.14247700 0.00160661
2723.18137900 0.00222301
2723.22028200 0.00412348
2723.25918500 0.00602433
2723.29808900 0.00706563
2723.33699300 0.00678765
2723.37589800 0.00651012
2723.41480300 0.00544282
2723.45370900 0.00383301
2723.49261500 0.00190370
2723.53152200 0.00191946
2723.57043000 0.00196925
2723.60933800 0.00200655
2723.64824700 0.00295458
2723.68715600 0.00389398
2723.72606600 0.00461492
2723.76497600 0.00444050
2723.80388700 0.00425025
2723.84279900 0.00364202
2723.88171100 0.00260654
2723.92062300 0.00140425
2723.95953700 0.00091334
2723.99845000 0.00072690
2724.03736500 0.00056232
2724.07627900 0.00055803
2724.11519500 0.00058870
2724.15411100 0.00061077
2724.19302700 0.00058108
2724.23194400 0.00054490
2724.27086200 0.00052663
2724.30978000 0.00058331
2724.34869900 0.00063417
2724.38761800 0.00064555
2724.42653800 0.00057459
2724.46545800 0.00050310
2724.50437900 0.00042311
2724.54330100 0.00033758
2724.58222300 0.00025225
2724.62114500 0.00025706
2724.66006800 0.00028563
2724.69899200 0.00031405
2724.73791600 0.00040883
2724.77684100 0.00049878
2724.81576700 0.00055559
2724.85469300 0.00042910
2724.89361900 0.00030271
2724.93254600 0.00022610
2724.97147400 0.00022658
2725.01040200 0.00022790
2725.04933100 0.00021863
2725.08826000 0.00020164
2725.12719000 0.00018655
2725.16612000 0.00019719
2725.20505100 0.00021471
2725.24398300 0.00023215
2725.28291500 0.00027932
2725.32184700 0.00032660
2725.36078000 0.00037837
2725.39971400 0.00044780
2725.43864800 0.00051325
2725.47758300 0.00062643
2725.51651900 0.00078688
2725.55545500 0.00094697
2725.59439100 0.00144190
2725.63332800 0.00216492
2725.67226600 0.00288770
2725.71120400 0.00258881
2725.75014300 0.00202638
2725.78908200 0.00146164
2725.82802200 0.00119868
2725.86696200 0.00104789
2725.90590300 0.00092415
2725.94484500 0.00111372
2725.98378700 0.00130884
2726.02272900 0.00197846
2726.06167300 0.00331274
2726.10061600 0.00475194
2726.13956100 0.00506420
2726.17850500 0.00464265
2726.21745100 0.00421821
2726.25639700 0.00337499
2726.29534300 0.00236664
2726.33429000 0.00133985
2726.37323800 0.00160404
2726.41218600 0.00173758
2726.45113500 0.00213145
2726.49008400 0.00354378
2726.52903400 0.00492409
2726.56798400 0.00600555
2726.60693500 0.00661881
2726.64588700 0.00748366
2726.68483900 0.00668234
2726.72379200 0.00454628
2726.76274500 0.00256706
2726.80169900 0.00225044
2726.84065300 0.00238096
2726.87960800 0.00250325
2726.91856300 0.00195368
2726.95751900 0.00140081
2726.99647600 0.00091462
2727.03543300 0.00071149
2727.07439100 0.00050696
2727.11334900 0.00037751
2727.15230700 0.00035977
2727.19126700 0.00034082
2727.23022700 0.00031177
2727.26918700 0.00027697
2727.30814800 0.00024238
2727.34711000 0.00020933
2727.38607200 0.00018873
2727.42503400 0.00016298
2727.46399800 0.00017723
2727.50296100 0.00019190
2727.54192600 0.00019918
2727.58089100 0.00017287
2727.61985600 0.00014644
2727.65882200 0.00013001
2727.69778900 0.00012866
2727.73675600 0.00012739
2727.77572300 0.00014644
2727.81469200 0.00017926
2727.85366000 0.00021270
2727.89263000 0.00023181
2727.93160000 0.00024658
2727.97057000 0.00026126
2728.00954100 0.00029391
2728.04851300 0.00034378
2728.08748500 0.00035972
2728.12645700 0.00027701
2728.16543100 0.00019336
2728.20440400 0.00014243
2728.24337900 0.00014436
2728.28235400 0.00014561
2728.32132900 0.00017016
2728.36030500 0.00021056
2728.39928200 0.00025100
2728.43825900 0.00021527
2728.47723700 0.00016000
2728.51621500 0.00010477
2728.55519400 0.00013195
2728.59417300 0.00015939
2728.63315300 0.00017622
2728.67213300 0.00014477
2728.71111400 0.00012330
2728.75009600 0.00010391
2728.78907800 0.00009527
2728.82806100 0.00008638
2728.86704400 0.00010280
2728.90602800 0.00013609
2728.94501200 0.00016950
2728.98399700 0.00017107
2729.02298300 0.00016455
2729.06196900 0.00015816
2729.10095500 0.00014457
2729.13994300 0.00013082
2729.17893000 0.00012725
2729.21791900 0.00016607
2729.25690700 0.00020473
2729.29589700 0.00024828
2729.33488700 0.00028765
2729.37387700 0.00035060
2729.41286800 0.00040854
2729.45186000 0.00047116
2729.49085200 0.00053395
2729.52984500 0.00087174
2729.56883800 0.00127953
2729.60783200 0.00168514
2729.64682600 0.00157317
2729.68582100 0.00145521
2729.72481700 0.00131847
2729.76381300 0.00110127
2729.80280900 0.00088505
2729.84180700 0.00075562
2729.88080400 0.00081094
2729.91980300 0.00085309
2729.95880100 0.00075239
2729.99780100 0.00053074
2730.03680100 0.00035891
2730.07580100 0.00028825
2730.11480200 0.00025632
2730.15380400 0.00022295
2730.19280600 0.00021945
2730.23180900 0.00021549
2730.27081200 0.00020827
2730.30981600 0.00018857
2730.34882100 0.00016857
2730.38782600 0.00015583
2730.42683100 0.00015256
2730.46583700 0.00014808
2730.50484400 0.00016116
2730.54385100 0.00018767
2730.58285900 0.00021301
2730.62186700 0.00024965
2730.66087600 0.00027372
2730.69988600 0.00032753
2730.73889600 0.00055084
2730.77790600 0.00077784
2730.81691700 0.00111394
