2722.84706000 0.00414930 0.00414930
2722.73815000 0.01290454 0.01290450
2722.62924500 0.02256528 0.02256530
2722.52034400 0.00591070 0.00591070
2722.41144800 0.00277885 0.00277885
2722.30255600 0.00225417 0.00225417
2722.19366800 0.00279715 0.00279715
2722.08478400 0.00538365 0.00538365
2721.97590500 0.02238548 0.02238550
2721.86703100 0.03407472 0.03407470
2721.75816000 0.00988497 0.00988497
2721.64929400 0.00463430 0.00463430
2721.54043300 0.00224723 0.00224723
2721.43157600 0.00169703 0.00169703
2721.32272300 0.00170606 0.00170606
2721.21387400 0.00228184 0.00228184
2721.10503000 0.00322936 0.00322936
2720.99619000 0.00910082 0.00910082
2720.88735500 0.02212448 0.02212450
2720.77852300 0.01689935 0.01689930
2720.66969700 0.00885047 0.00885047
2720.56087400 0.02041049 0.02041050
2720.45205600 0.01708771 0.01708770
2720.34324200 0.00738521 0.00738521
2720.23443300 0.00880748 0.00880748
2720.12562800 0.02830343 0.02830340
2720.01682700 0.01289954 0.01289950
2719.90803100 0.00658657 0.00658657
2719.79923900 0.00246656 0.00246656
2719.69045100 0.00276687 0.00276687
2719.58166800 0.00309318 0.00309318
2719.47288900 0.00123096 0.00123096
2719.36411500 0.00079851 0.00079851
2719.25534400 0.00077900 0.00077900
2719.14657900 0.00142856 0.00142856
2719.03781700 0.00129102 0.00129102
2718.92906000 0.00122842 0.00122842
2718.82030700 0.00288156 0.00288156
2718.71155900 0.01134296 0.01134300
2718.60281500 0.01456767 0.01456770
2718.49407500 0.00690163 0.00690163
2718.38533900 0.00189210 0.00189210
2718.27660800 0.00097531 0.00097530
2718.16788200 0.00090210 0.00090210
2718.05915900 0.00115900 0.00115900
2717.95044100 0.00110517 0.00110517
2717.84172700 0.00282363 0.00282363
2717.73301800 0.01324803 0.01324800
2717.62431300 0.00238214 0.00238214
2717.51561300 0.00138292 0.00138292
2717.40691600 0.00162936 0.00162936
2717.29822400 0.00187508 0.00187508
2717.18953700 0.00224780 0.00224780
2717.08085400 0.00135194 0.00135194
2716.97217500 0.00297538 0.00297538
2716.86350000 0.00576016 0.00576016
2716.75483000 0.00379945 0.00379945
2716.64616400 0.00106737 0.00106737
2716.53750300 0.00092568 0.00092568
2716.42884500 0.00150222 0.00150222
2716.32019300 0.00576028 0.00576028
2716.21154400 0.00624582 0.00624582
2716.10290000 0.00232253 0.00232253
2715.99426000 0.00759243 0.00759243
2715.88562500 0.00503013 0.00503013
2715.77699400 0.00124078 0.00124078
2715.66836700 0.00088762 0.00088762
2715.55974500 0.00111983 0.00111983
2715.45112700 0.00324384 0.00324384
2715.34251300 0.00289784 0.00289784
2715.23390400 0.00132581 0.00132581
2715.12529900 0.00288829 0.00288829
2715.01669800 0.00752441 0.00752441
2714.90810200 0.00849463 0.00849463
2714.79951000 0.00637581 0.00637581
2714.69092200 0.00203930 0.00203930
2714.58233900 0.00188776 0.00188776
2714.47376000 0.00200269 0.00200269
2714.36518500 0.00082796 0.00082796
2714.25661500 0.00081841 0.00081841
2714.14804900 0.00075680 0.00075680
2714.03948700 0.00050909 0.00050909
2713.93093000 0.00191478 0.00191478
2713.82237700 0.00285201 0.00285201
2713.71382900 0.00070626 0.00070626
2713.60528400 0.00054803 0.00054803
2713.49674500 0.00026193 0.00026193
2713.38820900 0.00029127 0.00029127
2713.27967800 0.00066546 0.00066546
2713.17115100 0.00101406 0.00101406
2713.06262800 0.00037486 0.00037486
2712.95411000 0.00038441 0.00038441
2712.84559600 0.00052159 0.00052159
