# wavelength_um	value
3.67947460	3.81143660e-01
3.67952717	3.80728770e-01
3.67957973	3.79437300e-01
3.67963230	3.80186060e-01
3.67968486	3.74894000e-01
3.67973743	3.80209350e-01
3.67979000	3.79850050e-01
3.67984257	3.81512850e-01
3.67989514	3.82059080e-01
3.67994771	3.82094300e-01
3.68000028	3.81926390e-01
3.68005285	3.81365980e-01
3.68010542	3.81360240e-01
3.68015799	3.81267710e-01
3.68021057	3.81950030e-01
3.68026314	3.82018930e-01
3.68031572	3.81268280e-01
3.68036829	3.80051240e-01
3.68042087	3.77199310e-01
3.68047345	3.81539210e-01
3.68052603	3.79951570e-01
3.68057861	3.76511530e-01
3.68063118	3.81952680e-01
3.68068377	3.76791350e-01
3.68073635	3.80871380e-01
3.68078893	3.80162810e-01
3.68084151	3.81505760e-01
3.68089409	3.81883400e-01
3.68094668	3.81925170e-01
3.68099926	3.82136070e-01
3.68105185	3.82161700e-01
3.68110444	3.81986740e-01
3.68115702	3.81994340e-01
3.68120961	3.81950970e-01
3.68126220	3.81710760e-01
3.68131479	3.66367200e-01
3.68136738	3.81573560e-01
3.68141997	3.81520560e-01
3.68147256	3.81446270e-01
3.68152515	3.81303560e-01
3.68157775	3.81073220e-01
3.68163034	3.80827860e-01
3.68168294	3.73705780e-01
3.68173553	3.72531980e-01
3.68178813	3.79512140e-01
3.68184072	3.78827070e-01
3.68189332	3.78343210e-01
3.68194592	3.77094700e-01
3.68199852	3.75447330e-01
3.68205112	3.73160470e-01
3.68210372	3.70278380e-01
3.68215632	3.65716900e-01
3.68220893	3.57855160e-01
3.68226153	3.42431660e-01
3.68231413	3.21476990e-01
3.68236674	3.16091510e-01
3.68241934	3.33799230e-01
3.68247195	3.46123330e-01
3.68252455	3.59922270e-01
3.68257716	3.65955080e-01
3.68262977	3.70289780e-01
3.68268238	3.68105340e-01
3.68273499	3.74802130e-01
3.68278760	3.76618260e-01
3.68284021	3.77420720e-01
3.68289282	3.77963520e-01
3.68294544	3.77285090e-01
3.68299805	3.79466810e-01
3.68305066	3.67869410e-01
3.68310328	3.70519250e-01
3.68315589	3.80276350e-01
3.68320851	3.79199220e-01
3.68326113	3.79893300e-01
3.68331375	3.80900110e-01
3.68336636	3.80702600e-01
3.68341898	3.80470900e-01
3.68347160	3.80205080e-01
3.68352422	3.78529310e-01
3.68357685	3.74609820e-01
3.68362947	3.75028230e-01
3.68368209	3.72466640e-01
3.68373472	3.80926430e-01
3.68378734	3.81199940e-01
3.68383997	3.81696470e-01
3.68389259	3.81825120e-01
3.68394522	3.81923090e-01
3.68399785	3.81859250e-01
3.68405048	3.81227580e-01
3.68410311	3.81392430e-01
3.68415574	3.81672270e-01
3.68420837	3.81923470e-01
3.68426100	3.81800070e-01
3.68431363	3.81792940e-01
3.68436626	3.81825860e-01
3.68441890	3.81848170e-01
3.68447153	3.81709220e-01
3.68452417	3.80480540e-01
3.68457680	3.77988960e-01
3.68462944	3.80470890e-01
3.68468208	3.78728820e-01
3.68473472	3.78242350e-01
3.68478736	3.81197100e-01
3.68484000	3.81236050e-01
3.68489264	3.80083580e-01
3.68494528	3.80454200e-01
3.68499792	3.81668650e-01
3.68505056	3.81958250e-01
3.68510321	3.82044630e-01
3.68515585	3.82117550e-01
3.68520849	3.82056280e-01
3.68526114	3.82060370e-01
3.68531379	3.82094260e-01
3.68536643	3.82106780e-01
3.68541908	3.81894890e-01
3.68547173	3.81430970e-01
3.68552438	3.82109210e-01
3.68557703	3.82120550e-01
3.68562968	3.82090360e-01
3.68568233	3.81896220e-01
3.68573499	3.76327540e-01
3.68578764	3.81804270e-01
3.68584029	3.81373590e-01
3.68589295	3.81233830e-01
3.68594560	3.80396590e-01
3.68599826	3.80945820e-01
3.68605092	3.81361120e-01
3.68610358	3.80424080e-01
3.68615623	3.81364350e-01
3.68620889	3.81490730e-01
3.68626155	3.81591770e-01
3.68631422	3.81662470e-01
3.68636688	3.81720790e-01
3.68641954	3.81688370e-01
3.68647220	3.81629220e-01
3.68652487	3.81509560e-01
3.68657753	3.81410640e-01
3.68663020	3.81274980e-01
3.68668286	3.80985600e-01
3.68673553	3.75082350e-01
3.68678820	3.80754510e-01
3.68684087	3.80983040e-01
3.68689353	3.80795470e-01
3.68694620	3.81254890e-01
3.68699887	3.81331580e-01
3.68705155	3.81491510e-01
3.68710422	3.81602980e-01
3.68715689	3.81620060e-01
3.68720957	3.81561180e-01
3.68726224	3.81521430e-01
3.68731491	3.81468160e-01
3.68736759	3.81157560e-01
3.68742027	3.81099210e-01
3.68747294	3.81296150e-01
3.68752562	3.81163830e-01
3.68757830	3.81369080e-01
3.68763098	3.81013630e-01
3.68768366	3.81508980e-01
3.68773634	3.75385460e-01
3.68778903	3.81008000e-01
3.68784171	3.81011590e-01
3.68789439	3.81223030e-01
3.68794708	3.81500940e-01
3.68799976	3.81626830e-01
3.68805245	3.81558630e-01
3.68810513	3.81577470e-01
3.68815782	3.81562510e-01
3.68821051	3.81402140e-01
3.68826320	3.81588120e-01
3.68831589	3.81582140e-01
3.68836858	3.81676900e-01
3.68842127	3.81433500e-01
3.68847396	3.81593540e-01
3.68852665	3.76905520e-01
3.68857935	3.81539180e-01
3.68863204	3.81533050e-01
3.68868473	3.81520490e-01
3.68873743	3.75939850e-01
3.68879012	3.81509640e-01
3.68884282	3.81402590e-01
3.68889552	3.81460970e-01
3.68894822	3.81154260e-01
3.68900092	3.81429940e-01
3.68905362	3.81411690e-01
3.68910632	3.81444780e-01
3.68915902	3.79614240e-01
3.68921172	3.81409510e-01
3.68926443	3.81429450e-01
3.68931713	3.79722730e-01
3.68936983	3.80911470e-01
3.68942254	3.81197680e-01
3.68947525	3.81061180e-01
3.68952795	3.80984100e-01
3.68958066	3.80700810e-01
3.68963337	3.80696200e-01
3.68968608	3.81166550e-01
3.68973879	3.75877680e-01
3.68979150	3.80311010e-01
3.68984421	3.81410210e-01
3.68989692	3.81395510e-01
3.68994963	3.81424950e-01
3.69000235	3.81127760e-01
3.69005506	3.81416270e-01
3.69010778	3.81452300e-01
3.69016049	3.81453880e-01
3.69021321	3.81403580e-01
3.69026593	3.81304820e-01
3.69031864	3.81302090e-01
3.69037136	3.81165630e-01
3.69042408	3.81108720e-01
3.69047680	3.81144050e-01
3.69052952	3.81209090e-01
3.69058225	3.81200010e-01
3.69063497	3.81027940e-01
3.69068769	3.79968010e-01
3.69074042	3.68430760e-01
3.69079314	3.80408790e-01
3.69084587	3.80897770e-01
3.69089859	3.81051780e-01
3.69095132	3.81051290e-01
