# wavelength_um	value
3.69839339	3.35803340e-01
3.69844622	3.22749010e-01
3.69849906	3.45997170e-01
3.69855189	3.64559830e-01
3.69860473	3.71512280e-01
3.69865757	3.74721350e-01
3.69871041	3.76475030e-01
3.69876325	3.77491130e-01
3.69881608	3.76838590e-01
3.69886892	3.78571620e-01
3.69892177	3.78871170e-01
3.69897461	3.78290450e-01
3.69902745	3.77449080e-01
3.69908029	3.78629300e-01
3.69913314	3.79337760e-01
3.69918598	3.79550340e-01
3.69923883	3.79084310e-01
3.69929167	3.79696920e-01
3.69934452	3.79661590e-01
3.69939737	3.79759620e-01
3.69945022	3.79687360e-01
3.69950307	3.79537700e-01
3.69955592	3.79587450e-01
3.69960877	3.79848820e-01
3.69966162	3.79923650e-01
3.69971447	3.79926910e-01
3.69976732	3.79889980e-01
3.69982018	3.79189790e-01
3.69987303	3.79892450e-01
3.69992589	3.79912600e-01
3.69997874	3.79927440e-01
3.70003160	3.79923960e-01
3.70008446	3.79807510e-01
3.70013732	3.79659930e-01
3.70019018	3.78879320e-01
3.70024303	3.77409330e-01
3.70029590	3.78275840e-01
3.70034876	3.78960690e-01
3.70040162	3.78389200e-01
3.70045448	3.77426720e-01
3.70050735	3.76648670e-01
3.70056021	3.75704460e-01
3.70061308	3.78113990e-01
3.70066594	3.77987870e-01
3.70071881	3.78008060e-01
3.70077168	3.79334870e-01
3.70082454	3.79601820e-01
3.70087741	3.79642020e-01
3.70093028	3.79618140e-01
3.70098315	3.79429800e-01
3.70103602	3.79531110e-01
3.70108890	3.79687340e-01
3.70114177	3.79725980e-01
3.70119464	3.79798900e-01
3.70124752	3.79825160e-01
3.70130039	3.79809550e-01
3.70135327	3.79823000e-01
3.70140614	3.79708130e-01
3.70145902	3.79764740e-01
3.70151190	3.79601660e-01
3.70156478	3.79581020e-01
3.70161766	3.79703420e-01
3.70167054	3.79724110e-01
3.70172342	3.79552860e-01
3.70177630	3.79621500e-01
3.70182918	3.79001200e-01
3.70188207	3.79802930e-01
3.70193495	3.79880270e-01
3.70198784	3.79788930e-01
3.70204072	3.79779710e-01
3.70209361	3.79707110e-01
3.70214649	3.79737290e-01
3.70219938	3.79743040e-01
3.70225227	3.79788010e-01
3.70230516	3.79828850e-01
3.70235805	3.79847190e-01
3.70241094	3.79769240e-01
3.70246383	3.79642370e-01
3.70251672	3.79592530e-01
3.70256962	3.79575980e-01
3.70262251	3.79599160e-01
3.70267541	3.79608320e-01
3.70272830	3.79578910e-01
3.70278120	3.79455890e-01
3.70283409	3.77766030e-01
3.70288699	3.79055270e-01
3.70293989	3.79247090e-01
3.70299279	3.79417910e-01
3.70304569	3.79458070e-01
3.70309859	3.79423180e-01
3.70315149	3.79376340e-01
3.70320439	3.79470780e-01
3.70325730	3.79574070e-01
3.70331020	3.79470380e-01
3.70336310	3.79546530e-01
3.70341601	3.79628370e-01
3.70346892	3.79575720e-01
3.70352182	3.79409810e-01
3.70357473	3.79494800e-01
3.70362764	3.79488850e-01
3.70368055	3.79400990e-01
