Wavelength (nm),Transmittance
1902.805611222445,0.9972590000000001
1904.809619238477,0.997298
1906.813627254509,0.9974880000000002
1908.817635270541,0.997532
1910.8216432865731,0.997466
1912.8256513026051,0.997231
1914.8296593186374,0.9963500000000001
1916.8336673346694,0.9858340000000001
1918.8376753507014,0.9813350000000001
1920.8416833667334,0.995804
1922.8456913827654,0.9957890000000001
1924.8496993987976,0.9974130000000001
1926.8537074148296,0.997899
1928.8577154308616,0.997886
1930.8617234468938,0.9979500000000001
1932.8657314629259,0.997878
1934.8697394789579,0.997717
1936.8737474949899,0.9981250000000002
1938.8777555110219,0.9980249999999999
1940.881763527054,0.997929
1942.885771543086,0.997608
1944.8897795591183,0.9975590000000001
1946.8937875751503,0.9977850000000001
1948.8977955911823,0.9936150000000001
1950.9018036072143,0.996675
1952.9058116232463,0.9927600000000001
1954.9098196392786,0.9969700000000001
1956.9138276553106,0.9978050000000002
1958.9178356713426,0.997465
1960.9218436873748,0.9968000000000001
1962.9258517034068,0.9969270000000001
1964.9298597194388,0.997678
1966.9338677354708,0.9974870000000002
1968.9378757515028,0.9941720000000001
1970.941883767535,0.997023
1972.945891783567,0.9971110000000001
1974.9498997995993,0.996567
1976.9539078156313,0.995412
1978.9579158316633,0.9921500000000001
1980.9619238476953,0.9738800000000001
1982.9659318637273,0.6757880000000002
1984.9699398797595,0.9287110000000001
1986.9739478957915,0.973897
1988.9779559118235,0.937928
1990.9819639278558,0.9743510000000001
1992.9859719438878,0.9930800000000001
1994.9899799599198,0.9957310000000001
1996.9939879759518,0.9966840000000001
1998.997995991984,0.99616
2001.002004008016,0.9935530000000001
2003.006012024048,0.9962110000000001
2005.0100200400802,0.9969970000000001
2007.0140280561122,0.9972560000000001
2009.0180360721442,0.996621
2011.0220440881762,0.996901
2013.0260521042082,0.9906380000000001
2015.0300601202405,0.9648250000000002
2017.0340681362725,0.9959050000000002
2019.0380761523047,0.9967180000000001
2021.0420841683367,0.996973
2023.0460921843687,0.9940420000000001
2025.0501002004007,0.987705
2027.0541082164327,0.997188
2029.0581162324647,0.9971980000000001
2031.062124248497,0.997012
2033.066132264529,0.9967540000000001
2035.0701402805612,0.994937
2037.0741482965932,0.996156
2039.0781563126252,0.995958
2041.0821643286572,0.9951030000000001
2043.0861723446892,0.99366
2045.0901803607214,0.991171
2047.0941883767534,0.984305
2049.0981963927857,0.956963
2051.1022044088177,0.671661
2053.1062124248497,0.781047
2055.1102204408817,0.965651
2057.1142284569137,0.984702
2059.1182364729457,0.989174
2061.122244488978,0.989775
2063.1262525050097,0.9875160000000001
2065.130260521042,0.9788429999999999
2067.134268537074,0.9306170000000001
2069.138276553106,0.6972130000000001
2071.142284569138,0.919851
2073.14629258517,0.9740700000000001
2075.1503006012026,0.977952
2077.154308617234,0.9561250000000001
2079.1583166332666,0.8134900000000002
2081.1623246492986,0.95496
2083.1663326653306,0.9574150000000001
2085.1703406813626,0.8650400000000001
2087.1743486973946,0.473755
2089.1783567134266,0.8637080000000001
2091.1823647294586,0.962621
2093.186372745491,0.9805440000000001
2095.190380761523,0.985904
2097.194388777555,0.9871000000000001
2099.198396793587,0.984739
2101.202404809619,0.973589
2103.206412825651,0.9077090000000001
2105.210420841683,0.550814
2107.2144288577156,0.872529
2109.2184368737476,0.970281
2111.2224448897796,0.9863790000000001
2113.2264529058116,0.989978
2115.2304609218436,0.986715
2117.2344689378756,0.9943600000000001
2119.2384769539076,0.995674
2121.24248496994,0.996287
2123.2464929859716,0.996629
2125.250501002004,0.99702
2127.254509018036,0.9971890000000001
2129.258517034068,0.9970760000000001
2131.2625250501,0.9963280000000001
2133.266533066132,0.997033
2135.2705410821645,0.9948820000000002
2137.274549098196,0.9950949999999998
2139.2785571142285,0.9948620000000001
2141.2825651302605,0.9973800000000002
2143.2865731462925,0.997792
2145.2905811623245,0.9979200000000001
2147.2945891783565,0.9978950000000001
2149.2985971943885,0.9975210000000001
2151.3026052104206,0.9979150000000001
2153.306613226453,0.9980150000000001
2155.310621242485,0.997989
2157.314629258517,0.997987
2159.318637274549,0.9979150000000001
2161.322645290581,0.997649
2163.326653306613,0.9976640000000001
2165.330661322645,0.997176
2167.3346693386775,0.9973410000000003
2169.3386773547095,0.997274
2171.3426853707415,0.9968540000000001
2173.3466933867735,0.995897
2175.3507014028055,0.99153
2177.3547094188375,0.986356
2179.3587174348695,0.94946
2181.362725450902,0.817936
2183.3667334669335,0.9692800000000001
2185.370741482966,0.990474
2187.374749498998,0.993903
2189.37875751503,0.9955180000000001
2191.382765531062,0.996685
2193.386773547094,0.9968000000000001
2195.3907815631264,0.9947400000000001
2197.394789579158,0.9871900000000002
2199.3987975951904,0.9937350000000001
2201.4028056112224,0.968035
2203.4068136272545,0.984752
2205.4108216432865,0.9955500000000002
2207.4148296593185,0.9973210000000001
2209.4188376753505,0.997527
2211.4228456913825,0.997455
2213.426853707415,0.9976160000000001
2215.430861723447,0.997193
2217.434869739479,0.9964820000000001
2219.438877755511,0.9970190000000001
