# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Tue May 26 06:38:48 2026
# Radiative transfer took 1.438 seconds
# Spectral unit: Wavelength[nm]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2  Rayleigh CIA
2.430477946e+03 9.90467e-01 9.94260e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99999e-01 9.99452e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430486048e+03 9.89577e-01 9.93360e-01 1.00000e+00 9.99995e-01 1.00000e+00 9.99999e-01 9.99464e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430494149e+03 9.88555e-01 9.92314e-01 1.00000e+00 9.99980e-01 1.00000e+00 9.99999e-01 9.99498e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430502251e+03 9.88322e-01 9.92011e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99999e-01 9.99550e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430510353e+03 9.89258e-01 9.92912e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99999e-01 9.99588e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430518454e+03 9.90489e-01 9.94108e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.99628e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430526556e+03 9.91409e-01 9.95006e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.99654e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430534658e+03 9.91996e-01 9.95583e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99999e-01 9.99666e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430542760e+03 9.92352e-01 9.95940e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99999e-01 9.99667e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430550862e+03 9.92560e-01 9.96152e-01 1.00000e+00 9.99996e-01 1.00000e+00 9.99999e-01 9.99666e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430558963e+03 9.92619e-01 9.96258e-01 1.00000e+00 9.99959e-01 1.00000e+00 9.99999e-01 9.99655e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430567065e+03 9.92630e-01 9.96264e-01 1.00000e+00 9.99986e-01 1.00000e+00 9.99999e-01 9.99634e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
